video_name,start_time,stop_time
NSMQ_2019_ONEEIGHTH_POPE_JOHN_SHS_VS_NOTRE_DAME_SHS_VS_KOFORIDUA_SHTS,01:47:49,01:51:14
,,
,,
,,
NSMQ_2019_ONEEIGHTH_PRESEC_LEGON_VS_ASSIN_STATE_COLLEGE_VS_OFORI_PANIN_SHS,01:58:07,02:03:12
,,
,,
,,
NSMQ_2019_ONEEIGHTH_ST._JOHNS_SCHOOL_VS_TAMALE_ISLAMIC_SCIENCE_SHS_VS_ARCHBISHOP_PORTER_GIRLS_SHS,01:40:51,01:44:58
,,
,,
,,
NSMQ_2019_ONEEIGHTH_KUMASI_ACADEMY__VS_ANLO_SHS_VS_HOLY_CHILD_SCHOOL,01:53:43,01:57:47
,,
,,
,,
NSMQ_2019_ONEEIGHTH_GHANA_SHS_TAMALE_VS_ARMED_FORCES_SHTS_VS_NEW_JUABEN_SHS,01:55:40,02:01:41
,,
,,
,,
NSMQ_2019_ONEEIGHTH_ADISADEL_COLLEGE_VS_NSUTAMAN_CATH._SHS_VS_GHANATA_SCH,01:39:20,01:44:01
,,
,,
,,
NSMQ_2019_ONEEIGHTH_ST._IGNATIUS_OF_LOYOLA_SHS_VS_KUMASI_SHTS_VS_BEREKUM_SHS,01:31:19,01:36:23
,,
,,
,,
,,
,,
,,
,,
NSMQ_2019_ONEEIGHTH_OPOKU_WARE_SCHOOL_VS_ANGLICAN_SHS_KUMASI_VS_OSEI_KYERETWIE_SHS,01:47:37,01:53:22
,,
,,
,,
,,
,,
,,
,,
NSMQ_2019_ONEEIGHTH_TEPA_SHS_VS_ISLAMIC_SHS_KUMASI_VS_AWUDOME_SHS,01:35:46,01:41:19
