video_name,start_time,stop_time
NSMQ_2020_ONE_EIGHTH_HOLY_CHILD_SCHOOL_VS_OTI_BOATENG_SHS_VS_KINTAMPO_SHS,01:14:21,01:18:23
NSMQ_2020_ONE_EIGHTH_SONRISE_SHS_VS_TEMA_METHODIST_SHS_VS_WESLEY_GIRLS_HIGH_SCHOOL,01:08:44,01:12:33
NSMQ_2020_ONE_EIGHTH_AGOGO_STATECOLLEGE_VS_ZOBZUGU_SHS_VS_OPOKU_WARE_SCHOOL,01:15:59,01:20:12
NSMQ_2020_ONE_EIGHTH_MAWULI_SCHOOL_VS_ST._MARGARET_MARY_SHS_VS_GHANA_SHS_TAMALE,01:30:20,01:35:25
NSMQ_2020_ONE_EIGHTH_BOA_AMPONSEM_SHS_VS_OUR_LADY_OF_MT._CARMEL_GIRLS_VS_OLAM_SHS,01:58:26,02:01:04
NSMQ_2020_ONE_EIGHTH_GHANA_SEC_TECH_SCH_VS_ST._FRANCIS_XAVIER_JNR_SEM_VS_OFORI_PANIN_SHS,01:34:06,01:37:18
NSMQ_2020_ONE_EIGHTH_TAKORADI_SHS_VS_KUMASI_SEC_TECH_SCH_VS_SOGAKOPE_SHS,01:40:18,01:43:18
NSMQ_2020_ONE_EIGHTH_ACCRA_ACADEMY_VS_ASSIN_STATE_COLLEGE_VS_AFUAKOBIAMPEMGIRLSSHS,01:25:26,01:29:35
NSMQ_2020_ONE_EIGHTH_ST._AUGUSTINES_COLLEGE_VS_TECHIMAN_SHS_VS_BOMPEH_SHTS,01:09:44,01:13:44
NSMQ_2020_ONE_EIGHTH_ADU_GYAMFI_SHS_VS_ANGLICAN_SHS_KUMASI_VS_OBUASI_SHTS,01:25:37,01:30:16
NSMQ_2020_ONE_EIGHTH_ACHIMOTA_SCHOOL_VS_ADVENTIST_SHS_BANTAMA_VS_ST._HUBERT_SEMINARY,01:36:36,01:39:12
NSMQ_2020_ONE_EIGHTH_PREMPEH_COLLEGE__VS_ST._THOMAS_AQUINAS_SHS_VS_ASANTEMAN_SHS,02:06:23,02:08:24
NSMQ_2020_ONE_EIGHTH_KETA_SHTS_VS_NSEIN_SHS_VS_SDA_SHS_BEKWAI,01:39:07,01:41:55
NSMQ_2020_ONE_EIGHTH_POPE_JOHN_SEM._SHS_VS_ARCHIBISHOP_PORTER_GIRLS_VS_ST._MONICAS_SHS,01:10:19,01:12:52
NSMQ_2020_ONE_EIGHTH_T.I._AMASS_KUMASI_VS_NAVRONGO_SHS_VS_T.I.AMASS_POTSIN,01:20:02,01:22:35
NSMQ_2020_ONE_EIGHTH_OLA_SHS_HO_VS_ST.ROSES_SHS_VS_CHEMU_SHS,01:33:29,01:38:35
NSMQ_2020_ONE_EIGHTH_BEREKUM_SHS_VS_ST._PETERS_SHS_VS_NOTRE_DAME_GIRLS_SHS,01:44:29,01:48:50
NSMQ_2020_ONE_EIGHTH_KUMASI_ACADEMY__VS_MFANTSIPIM_SCHOOL__VS_ST_MARYS_SHS_ACCRA,01:36:56,01:42:00
NSMQ_2020_ONE_EIGHTH_TAMALE_SHS__VS_OSEI_TUTU_SHS_VS_ARMED_FORCES_SHTS,01:26:05,01:30:03
NSMQ_2020_ONE_EIGHTH_ST_IGNATIUS_OF_LOYOLA_SHS_VS_ABURI_PRESBY_SHTS_VS_PRESBY_SHS_ABETIFI,01:17:54,01:20:40
NSMQ_2020_ONE_EIGHTH_BOLGATANGA_SHS_VS_ST._JOHNS_SCHOOL_SEKONDI_VSNORTHERN_SCH._OF_BUSINESS,01:10:19,01:16:13
NSMQ_2020_ONE_EIGHTH_KNUST_SHS_VS_ST._JOHNS_GRAMMAR_SCHOOL_VS_OSINO_PRESBY_SHTS,01:25:50,01:30:25
NSMQ_2020_ONE_EIGHTH_TEPA_SHS_VS_GHANA_NATIONAL_COLLEGE__VS_AKATSI_SHTS,01:36:16,01:40:16
NSMQ_2020_ONE_EIGHTH_UNIVERSITY_PRACTICE_SHS_VS_KOFORIDUA_SHTS_VS_ST._CHARLES_MINOR_SEMINARY,01:48:14,01:51:42
NSMQ_2020_QUARTER_FINAL_ABURI_PRESBY_SHTS_VS_NORTHERN_SCH._OF_BUSINESS_VS_OSINO_PRESBY_SHS,02:03:11,02:08:18
NSM_Q2020_QUARTER_FINALS_CONTEST_GHANA_NATIONAL_COLLEGE_VS_KOFORIDUA_SEC_TECH_ SCH_VS_PRESEC_LEGON,02:25:35,02:32:42
NSMQ_2020_SEMI_FINALS_OPOKU_WARE_SCHOOL_VS_BOA_AMPONSEM_SHS_VS_ACCRA_ACADEMY,02:54:02,03:01:06
NSMQ_2020_SEMI_FINALS_ACHIMOTA_SCHOOL_VS_KETA_SHS_VS_ADISADEL_COLLEGE,02:54:00,02:59:46
NSMQ_2020_SEMI_FINALS_KUMASI_ACADEMY_VS_ABURI_PRESBY_SHS_VS_PRESEC_LEGON,02:26:20,02:33:46
NSMQ_2020_FINALS_PRESEC_LEGON_VS_ADISADEL_COLLEGE_VS_OPOKU_WARE_SCHOOL,04:10:03,04:19:39
