Section Title,Paragraphs,Lists,Table,Figures
Teacher Support,"_paragraph_1
 Teacher Support
_paragraph_2
 Before students begin this chapter, it is useful to review the following concepts:","_list_1
 The definition of the atom and subatomic particles (electron, proton, and neutron)
Metric units
Using significant figures in calculations",,
1.1 Physics: Definitions and Applications,"_paragraph_1
 By the end of this section, you will be able to do the following:","_list_1
 Describe the definition, aims, and branches of physics
Describe and distinguish classical physics from modern physics and describe the importance of relativity, quantum mechanics, and relativistic quantum mechanics in modern physics
Describe how aspects of physics are used in other sciences (e.g., biology, chemistry, geology, etc.) as well as in everyday technology",,
Section Key Terms,,,"_table_1
 ['atom', 'classical physics', 'modern physics']
['physics', 'quantum mechanics', 'theory of relativity']",
What Physics Is,"_paragraph_1
 Think about all of the technological devices that you use on a regular basis. Computers, wireless internet, smart phones, tablets, global positioning system (GPS), MP3 players, and satellite radio might come to mind. Next, think about the most exciting modern technologies that you have heard about in the news, such as trains that levitate above their tracks, invisibility cloaks that bend light around them, and microscopic robots that fight diseased cells in our bodies. All of these groundbreaking advancements rely on the principles of physics.
_paragraph_2
 physics
_paragraph_3
 Physics is a branch of science. The word science comes from a Latin word that means having knowledge, and refers to the knowledge of how the physical world operates, based on objective evidence determined through observation and experimentation. A key requirement of any scientific explanation of a natural phenomenon is that it must be testable; one must be able to devise and conduct an experimental investigation that either supports or refutes the explanation. It is important to note that some questions fall outside the realm of science precisely because they deal with phenomena that are not scientifically testable. This need for objective evidence helps define the investigative process scientists follow, which will be described later in this chapter.
_paragraph_4
 Physics is the science aimed at describing the fundamental aspects of our universe. This includes what things are in it, what properties of those things are noticeable, and what processes those things or their properties undergo. In simpler terms, physics attempts to describe the basic mechanisms that make our universe behave the way it does. For example, consider a smart phone (Figure 1.2). Physics describes how electric current interacts with the various circuits inside the device. This knowledge helps engineers select the appropriate materials and circuit layout when building the smart phone. Next, consider a GPS. Physics describes the relationship between the speed of an object, the distance over which it travels, and the time it takes to travel that distance. When you use a GPS device in a vehicle, it utilizes these physics relationships to determine the travel time from one location to another.
_paragraph_5
 Figure
_paragraph_6
 1.2
_paragraph_7
 Physics describes the way that electric charge flows through the circuits of this device. Engineers use their knowledge of physics to construct a smartphone with features that consumers will enjoy, such as a GPS function. GPS uses physics equations to determine the driving time between two locations on a map. (@gletham GIS, Social, Mobile Tech Images)
_paragraph_8
 Teacher Support
_paragraph_9
 Teacher Support
_paragraph_10
 [AL]Ask what parts of a cell phone should contain conducting materials (wires, circuit boards, etc.) versus insulating materials (e.g., places where electrical insulation keeps humans from touching electrical circuits inside the phone).
_paragraph_11
 [AL]
_paragraph_12
 [AL]You can delve into GPS usage at this point by defining velocity = distance/time, discussing triangulation, and/or discussing line of sight.
_paragraph_13
 [AL]
_paragraph_14
 As our technology evolved over the centuries, physics expanded into many branches. Ancient peoples could only study things that they could see with the naked eye or otherwise experience without the aid of scientific equipment. This included the study of kinematics, which is the study of moving objects. For example, ancient people often studied the apparent motion of objects in the sky, such as the sun, moon, and stars. This is evident in the construction of prehistoric astronomical observatories, such as Stonehenge in England (shown in Figure 1.3).
_paragraph_15
 kinematics
_paragraph_16
 Figure
_paragraph_17
 1.3
_paragraph_18
 Stonehenge is a monument located in England that was built between 3000 and 1000 B.C. It functions as an ancient astronomical observatory, with certain rocks in the monument aligning with the position of the sun during the summer and winter solstices. Other rocks align with the rising and setting of the moon during certain days of the year. (Citypeek, Wikimedia Commons)
_paragraph_19
 Ancient people also studied statics and dynamics, which focus on how objects start moving, stop moving, and change speed and direction in response to forces that push or pull on the objects. This early interest in kinematics and dynamics allowed humans to invent simple machines, such as the lever, the pulley, the ramp, and the wheel. These simple machines were gradually combined and integrated to produce more complicated machines, such as wagons and cranes. Machines allowed humans to gradually do more work more effectively in less time, allowing them to create larger and more complicated buildings and structures, many of which still exist today from ancient times.
_paragraph_20
 statics
_paragraph_21
 dynamics
_paragraph_22
 As technology advanced, the branches of physics diversified even more. These include branches such as acoustics, the study of sound, and optics, the study of the light. In 1608, the invention of the telescope by a Germany spectacle maker, Hans Lippershey, led to huge breakthroughs in astronomy—the study of objects or phenomena in space. One year later, in 1609, Galileo Galilei began the first studies of the solar system and the universe using a telescope. During the Renaissance era, Isaac Newton used observations made by Galileo to construct his three laws of motion. These laws were the standard for studying kinematics and dynamics even today.
_paragraph_23
 acoustics
_paragraph_24
 optics
_paragraph_25
 Another major branch of physics is thermodynamics, which includes the study of thermal energy and the transfer of heat. James Prescott Joule, an English physicist, studied the nature of heat and its relationship to work. Joule’s work helped lay the foundation for the first of three laws of thermodynamics that describe how energy in our universe is transferred from one object to another or transformed from one form to another. Studies in thermodynamics were motivated by the need to make engines more efficient, keep people safe from the elements, and preserve food.
_paragraph_26
 thermodynamics
_paragraph_27
 The 18th and 19th centuries also saw great strides in the study of electricity and magnetism. Electricity involves the study of electric charges and their movements. Magnetism had long ago been noticed as an attractive force between a magnetized object and a metal like iron, or between the opposite poles (North and South) of two magnetized objects. In 1820, Danish physicist Hans Christian Oersted showed that electric currents create magnetic fields. In 1831, English inventor Michael Faraday showed that moving a wire through a magnetic field could induce an electric current. These studies led to the inventions of the electric motor and electric generator, which revolutionized human life by bringing electricity and magnetism into our machines.
_paragraph_28
 Electricity
_paragraph_29
 Magnetism
_paragraph_30
 The end of the 19th century saw the discovery of radioactive substances by the scientists Marie and Pierre Curie. Nuclear physics involves studying the nuclei of atoms, the source of nuclear radiation. In the 20th century, the study of nuclear physics eventually led to the ability to split the nucleus of an atom, a process called nuclear fission. This process is the basis for nuclear power plants and nuclear weapons. Also, the field of quantum mechanics, which involves the mechanics of atoms and molecules, saw great strides during the 20th century as our understanding of atoms and subatomic particles increased (see below).
_paragraph_31
 Nuclear physics
_paragraph_32
 atoms
_paragraph_33
 quantum mechanics
_paragraph_34
 Early in the 20th century, Albert Einstein revolutionized several branches of physics, especially relativity. Relativity revolutionized our understanding of motion and the universe in general as described further in this chapter. Now, in the 21st century, physicists continue to study these and many other branches of physics.
_paragraph_35
 By studying the most important topics in physics, you will gain analytical abilities that will enable you to apply physics far beyond the scope of what can be included in a single book. These analytical skills will help you to excel academically, and they will also help you to think critically in any career you choose to pursue.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/57c3519321bc710453652a8e6406834d7ad147f4
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/361ccf872d135138635c3049c85aea80e59c8a9a"
Physics: Past and Present,"_paragraph_1
 The word physics is thought to come from the Greek word phusis, meaning nature. The study of nature later came to be called natural philosophy. From ancient times through the Renaissance, natural philosophy encompassed many fields, including astronomy, biology, chemistry, mathematics, and medicine. Over the last few centuries, the growth of scientific knowledge has resulted in ever-increasing specialization and branching of natural philosophy into separate fields, with physics retaining the most basic facets. Physics, as it developed from the Renaissance to the end of the 19th century, is called classical physics. Revolutionary discoveries starting at the beginning of the 20th century transformed physics from classical physics to modern physics.
_paragraph_2
 classical physics
_paragraph_3
 modern physics
_paragraph_4
 Teacher Support
_paragraph_5
 Teacher Support
_paragraph_6
 [BL][EL]English learners may need philosophy and classical defined during this section. Relate the definition of classical physics to the use of the word classical in a context that is probably more familiar to students, such as classic films.
_paragraph_7
 [BL]
_paragraph_8
 Classical physics is not an exact description of the universe, but it is an excellent approximation under the following conditions: (1) matter must be moving at speeds less than about 1 percent of the speed of light, (2) the objects dealt with must be large enough to be seen with the naked eye, and (3) only weak gravity, such as that generated by Earth, can be involved. Very small objects, such as atoms and molecules, cannot be adequately explained by classical physics. These three conditions apply to almost all of everyday experience. As a result, most aspects of classical physics should make sense on an intuitive level.
_paragraph_9
 Teacher Support
_paragraph_10
 Teacher Support
_paragraph_11
 [OL]To better relate to student experience, express the speed of light in units used while driving a car, for example, 1.080 million km/h or 671 million miles per hour. Relate this to the approximately eight minute trip that light takes to travel 150 billion kilometers (93 billion miles) from the Sun to the Earth.
_paragraph_12
 [OL]
_paragraph_13
 Many laws of classical physics have been modified during the 20th century, resulting in revolutionary changes in technology, society, and our view of the universe. As a result, many aspects of modern physics, which occur outside of the range of our everyday experience, may seem bizarre or unbelievable. So why is most of this textbook devoted to classical physics? There are two main reasons. The first is that knowledge of classical physics is necessary to understand modern physics. The second reason is that classical physics still gives an accurate description of the universe under a wide range of everyday circumstances.
_paragraph_14
 Modern physics includes two revolutionary theories: relativity and quantum mechanics. These theories deal with the very fast and the very small, respectively. The theory of relativity was developed by Albert Einstein in 1905. By examining how two observers moving relative to each other would see the same phenomena, Einstein devised radical new ideas about time and space. He came to the startling conclusion that the measured length of an object travelling at high speeds (greater than about one percent of the speed of light) is shorter than the same object measured at rest. Perhaps even more bizarre is the idea that the time for the same process to occur is different depending on the motion of the observer. Time passes more slowly for an object travelling at high speeds. A trip to the nearest star system, Alpha Centauri, might take an astronaut 4.5 Earth years if the ship travels near the speed of light. However, because time is slowed at higher speeds, the astronaut would age only 0.5 years during the trip. Einstein’s ideas of relativity were accepted after they were confirmed by numerous experiments.
_paragraph_15
 theory of relativity
_paragraph_16
 Gravity, the force that holds us to Earth, can also affect time and space. For example, time passes more slowly on Earth’s surface than for objects farther from the surface, such as a satellite in orbit. The very accurate clocks on global positioning satellites have to correct for this. They slowly keep getting ahead of clocks at Earth’s surface. This is called time dilation, and it occurs because gravity, in essence, slows down time.
_paragraph_17
 Teacher Support
_paragraph_18
 Teacher Support
_paragraph_19
 [AL]By saying that time passes more slowly at near-light speeds or high gravity, it is important to mention that people in both locations perceive the second as the same length of time.
_paragraph_20
 [AL]
_paragraph_21
 Large objects, like Earth, have strong enough gravity to distort space. To visualize this idea, think about a bowling ball placed on a trampoline. The bowling ball depresses or curves the surface of the trampoline. If you rolled a marble across the trampoline, it would follow the surface of the trampoline, roll into the depression caused by the bowling ball, and hit the ball. Similarly, the Earth curves space around it in the shape of a funnel. These curves in space due to the Earth cause objects to be attracted to Earth (i.e., gravity).
_paragraph_22
 Because of the way gravity affects space and time, Einstein stated that gravity affects the space-time continuum, as illustrated in Figure 1.4. This is why time proceeds more slowly at Earth’s surface than in orbit. In black holes, whose gravity is hundreds of times that of Earth, time passes so slowly that it would appear to a far-away observer to have stopped!
_paragraph_23
 Figure
_paragraph_24
 1.4
_paragraph_25
 Einstein’s theory of relativity describes space and time as an interweaved mesh. Large objects, such as a planet, distort space, causing objects to fall in toward the planet due to the action of gravity. Large objects also distort time, causing time to proceed at a slower rate near the surface of Earth compared with the area outside of the distorted region of space-time.
_paragraph_26
 Teacher Support
_paragraph_27
 Teacher Support
_paragraph_28
 [AL]Black holes are much more dense and massive than Earth. The greater an object’s mass, the stronger the gravitational field it produces, and the more that gravity slows down time.
_paragraph_29
 [AL]
_paragraph_30
 In summary, relativity says that in describing the universe, it is important to realize that time, space and speed are not absolute. Instead, they can appear different to different observers. Einstein’s ability to reason out relativity is even more amazing because we cannot see the effects of relativity in our everyday lives.
_paragraph_31
 Quantum mechanics is the second major theory of modern physics. Quantum mechanics deals with the very small, namely, the subatomic particles that make up atoms. Atoms (Figure 1.5) are the smallest units of elements. However, atoms themselves are constructed of even smaller subatomic particles, such as protons, neutrons and electrons. Quantum mechanics strives to describe the properties and behavior of these and other subatomic particles. Often, these particles do not behave in the ways expected by classical physics.
_paragraph_32
 Figure
_paragraph_33
 1.5
_paragraph_34
 Using a scanning tunneling microscope (STM), scientists can see the individual atoms that compose this sheet of gold. (Erwinrossen)
_paragraph_35
 Teacher Support
_paragraph_36
 Teacher Support
_paragraph_37
 [OL][AL]Assess prior knowledge of subatomic particles by asking students if they have heard of protons, electrons, neutrons, as well as quarks, Higgs-Boson particles, and so on.
_paragraph_38
 [OL]
_paragraph_39
 [AL]
_paragraph_40
 [AL]Scanning electron microscopes generate highly-detailed surface views of objects such as that shown in Figure 1.5. They scan the object’s surface with beams of electrons to detect the object’s microscopic topography.
_paragraph_41
 [AL]
_paragraph_42
 At particle colliders (Figure 1.6), such as the Large Hadron Collider on the France-Swiss border, particle physicists can make subatomic particles travel at very high speeds within a 27 kilometers (17 miles) long superconducting tunnel. They can then study the properties of the particles at high speeds, as well as collide them with each other to see how they exchange energy. This has led to many intriguing discoveries such as the Higgs-Boson particle, which gives matter the property of mass, and antimatter, which causes a huge energy release when it comes in contact with matter.
_paragraph_43
 Figure
_paragraph_44
 1.6
_paragraph_45
 Particle colliders such as the Large Hadron Collider in Switzerland or Fermilab in the United States (pictured here), have long tunnels that allows subatomic particles to be accelerated to near light speed. (Andrius.v )
_paragraph_46
 Physicists are currently trying to unify the two theories of modern physics, relativity and quantum mechanics, into a single, comprehensive theory called relativistic quantum mechanics. Relating the behavior of subatomic particles to gravity, time, and space will allow us to explain how the universe works in a much more comprehensive way.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/78139764c9cd3f28b132046e4254238d1f00f198
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/6f19357688b65436879428f6d20146a022f21dcd
_figure_3
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/f13392d13d2d23ab60499d29b728ee62192ffdfe"
Application of Physics,"_paragraph_1
 You need not be a scientist to use physics. On the contrary, knowledge of physics is useful in everyday situations as well as in nonscientific professions. For example, physics can help you understand why you shouldn’t put metal in the microwave (Figure 1.7), why a black car radiator helps remove heat in a car engine, and why a white roof helps keep the inside of a house cool. The operation of a car’s ignition system, as well as the transmission of electrical signals through our nervous system, are much easier to understand when you think about them in terms of the basic physics of electricity.
_paragraph_2
 Figure
_paragraph_3
 1.7
_paragraph_4
 Why can't you put metal in the microwave? Microwaves are high-energy radiation that increases the movement of electrons in metal. These moving electrons can create an electrical current, causing sparking that can lead to a fire. (= MoneyBlogNewz)
_paragraph_5
 Teacher Support
_paragraph_6
 Teacher Support
_paragraph_7
 [AL]It is hazardous to put metal in the microwave because metal reflects microwaves, which, when free to bounce around the oven, can damage the oven. Also, the metal in the microwave oven gets very hot and begins generating an electrical field. This electrical field ionizes the air surrounding the metal, creating sparks.
_paragraph_8
 [AL]
_paragraph_9
 Physics is the foundation of many important scientific disciplines. For example, chemistry deals with the interactions of atoms and molecules. Not surprisingly, chemistry is rooted in atomic and molecular physics. Most branches of engineering are also applied physics. In architecture, physics is at the heart of determining structural stability, acoustics, heating, lighting, and cooling for buildings. Parts of geology, the study of nonliving parts of Earth, rely heavily on physics; including radioactive dating, earthquake analysis, and heat transfer across Earth’s surface. Indeed, some disciplines, such as biophysics and geophysics, are hybrids of physics and other disciplines.
_paragraph_10
 Teacher Support
_paragraph_11
 Teacher Support
_paragraph_12
 [BL][EL]Students may need acoustics to be explained as the properties of a room or structure that determine how sound is transmitted within it.
_paragraph_13
 [BL]
_paragraph_14
 Physics also describes the chemical processes that power the human body. Physics is involved in medical diagnostics, such as x-rays, magnetic resonance imaging (MRI), and ultrasonic blood flow measurements (Figure 1.8). Medical therapy Physics also has many applications in biology, the study of life. For example, physics describes how cells can protect themselves using their cell walls and cell membranes (Figure 1.9). Medical therapy sometimes directly involves physics, such as in using X-rays to diagnose health conditions. Physics can also explain what we perceive with our senses, such as how the ears detect sound or the eye detects color.
_paragraph_15
 Figure
_paragraph_16
 1.8
_paragraph_17
 Magnetic resonance imaging (MRI) uses electromagnetic waves to yield an image of the brain, which doctors can use to find diseased regions. (Rashmi Chawla, Daniel Smith, and Paul E. Marik)
_paragraph_18
 Figure
_paragraph_19
 1.9
_paragraph_20
 Physics, chemistry, and biology help describe the properties of cell walls in plant cells, such as the onion cells seen here. (Umberto Salvagnin)
_paragraph_21
 Teacher Support
_paragraph_22
 Teacher Support
_paragraph_23
 [BL]Cell membranes (found in the cells of all organisms) control the transport of materials into and out of a cell. Cell walls (found in plant cells, fungus cells, bacteria, and plant-like microbes) mainly provide structure and support.
_paragraph_24
 [BL]
_paragraph_25
 [AL]X-rays easily penetrate skin and soft tissues but are absorbed to a far greater extent by bone. This produces an image where bones within the body are clearly visible while soft tissue is not. MRI scans for the magnetic properties of atoms within the body, allowing the solid versus empty areas within the body to be visualized. Ultrasonic blood flow measurements use sound waves and the Doppler effect to measure blood flow speed and volume.
_paragraph_26
 [AL]
_paragraph_27
 Boundless Physics
_paragraph_28
 The Physics of Landing on a Comet
_paragraph_29
 On November 12, 2014, the European Space Agency’s Rosetta spacecraft (shown in Figure 1.10) became the first ever to reach and orbit a comet. Shortly after, Rosetta’s rover, Philae, landed on the comet, representing the first time humans have ever landed a space probe on a comet.
_paragraph_30
 Figure
_paragraph_31
 1.10
_paragraph_32
 The Rosetta spacecraft, with its large and revolutionary solar panels, carried the Philae lander to a comet. The lander then detached and landed on the comet’s surface. (European Space Agency)
_paragraph_33
 After traveling 6.4 billion kilometers starting from its launch on Earth, Rosetta landed on the comet 67P/Churyumov-Gerasimenko, which is only 4 kilometers wide. Physics was needed to successfully plot the course to reach such a small, distant, and rapidly moving target. Rosetta’s path to the comet was not straight forward. The probe first had to travel to Mars so that Mars’s gravity could accelerate it and divert it in the exact direction of the comet.
_paragraph_34
 This was not the first time humans used gravity to power our spaceships. Voyager 2, a space probe launched in 1977, used the gravity of Saturn to slingshot over to Uranus and Neptune (illustrated in Figure 1.11), providing the first pictures ever taken of these planets. Now, almost 40 years after its launch, Voyager 2 is at the very edge of our solar system and is about to enter interstellar space. Its sister ship, Voyager 1 (illustrated in Figure 1.11), which was also launched in 1977, is already there.
_paragraph_35
 To listen to the sounds of interstellar space or see images that have been transmitted back from the Voyager I or to learn more about the Voyager mission, visit the Voyager’s Mission website.
_paragraph_36
 Figure
_paragraph_37
 1.11
_paragraph_38
 a) Voyager 2, launched in 1977, used the gravity of Saturn to slingshot over to Uranus and Neptune. NASA b) A rendering of Voyager 1, the first space probe to ever leave our solar system and enter interstellar space. NASA
_paragraph_39
 Both Voyagers have electrical power generators based on the decay of radioisotopes. These generators have served them for almost 40 years. Rosetta, on the other hand, is solar-powered. In fact, Rosetta became the first space probe to travel beyond the asteroid belt by relying only on solar cells for power generation.
_paragraph_40
 At 800 million kilometers from the sun, Rosetta receives sunlight that is only 4 percent as strong as on Earth. In addition, it is very cold in space. Therefore, a lot of physics went into developing Rosetta’s low-intensity low-temperature solar cells.
_paragraph_41
 In this sense, the Rosetta project nicely shows the huge range of topics encompassed by physics: from modeling the movement of gigantic planets over huge distances within our solar systems, to learning how to generate electric power from low-intensity light. Physics is, by far, the broadest field of science.
_paragraph_42
 Grasp Check
_paragraph_43
 What characteristics of the solar system would have to be known or calculated in order to send a probe to a distant planet, such as Jupiter?
_paragraph_44
 Teacher Support
_paragraph_45
 Teacher Support
_paragraph_46
 This passage describes the physics behind getting the Rosetta and Voyager probes across the solar system using gravitational sling shots. In addition, the physics behind the power systems of these probes is compared. This is meant to reinforce how physics applies over wide ranges, from the immense distances in our universe to the tiny sizes of subatomic particles.
_paragraph_47
 Answers to the Grasp Check may vary. A sample answer: You would have to how the target planet moves to know when to launch the probe so it actually reaches the planet. You would also need to know and account for the effects of gravity from other planets during the path followed during its journey.
_paragraph_48
 In summary, physics studies many of the most basic aspects of science. A knowledge of physics is, therefore, necessary to understand all other sciences. This is because physics explains the most basic ways in which our universe works. However, it is not necessary to formally study all applications of physics. A knowledge of the basic laws of physics will be most useful to you, so that you can use them to solve some everyday problems. In this way, the study of physics can improve your problem-solving skills.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/040b01e95a606a0ae38d9f08d4551d054d09fd87
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/af4ef9e0ad684b95aacfa347f5e82f36a219fd76
_figure_3
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/07a0778e83fbb2216f286eab6f52e110be1ed0b5
_figure_4
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/dc640298b8bb5a5321f96c7eb22c1c9e0b48dcb3
_figure_5
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/6b474578077a7ec489c16acda95525e6283a124b"
Check Your Understanding,"_paragraph_1
 1
_paragraph_2
 .
_paragraph_3
 Which of the following is not an essential feature of scientific explanations?
_paragraph_4
 2
_paragraph_5
 .
_paragraph_6
 Which of the following does not represent a question that can be answered by science?
_paragraph_7
 3
_paragraph_8
 .
_paragraph_9
 What are the three conditions under which classical physics provides an excellent description of our universe?
_paragraph_10
 4
_paragraph_11
 .
_paragraph_12
 Why is the Greek word for nature appropriate in describing the field of physics?
_paragraph_13
 5
_paragraph_14
 .
_paragraph_15
 Which aspect of the universe is studied by quantum mechanics?
_paragraph_16
 Teacher Support
_paragraph_17
 Teacher Support
_paragraph_18
 Use the Check Your Understanding questions to assess students’ mastery of the sections learning objectives. If students are struggling with a specific objective, the Check Your Understanding will help identify the source of the problem and direct students to the relevant content.",,,
1.2 The Scientific Methods,"_paragraph_1
 By the end of this section, you will be able to do the following:","_list_1
 Explain how the methods of science are used to make scientific discoveries
Define a scientific model and describe examples of physical and mathematical models used in physics
Compare and contrast hypothesis, theory, and law",,
Section Key Terms,,,"_table_1
 ['experiment', 'hypothesis', 'model', 'observation', 'principle']
['scientific law', 'scientific methods', 'theory', 'universal', '']",
Scientific Methods,"_paragraph_1
 Scientists often plan and carry out investigations to answer questions about the universe around us. These investigations may lead to natural laws. Such laws are intrinsic to the universe, meaning that humans did not create them and cannot change them. We can only discover and understand them. Their discovery is a very human endeavor, with all the elements of mystery, imagination, struggle, triumph, and disappointment inherent in any creative effort. The cornerstone of discovering natural laws is observation. Science must describe the universe as it is, not as we imagine or wish it to be.
_paragraph_2
 We all are curious to some extent. We look around, make generalizations, and try to understand what we see. For example, we look up and wonder whether one type of cloud signals an oncoming storm. As we become serious about exploring nature, we become more organized and formal in collecting and analyzing data. We attempt greater precision, perform controlled experiments (if we can), and write down ideas about how data may be organized. We then formulate models, theories, and laws based on the data we have collected, and communicate those results with others. This, in a nutshell, describes the scientific method that scientists employ to decide scientific issues on the basis of evidence from observation and experiment.
_paragraph_3
 scientific method
_paragraph_4
 An investigation often begins with a scientist making an observation. The scientist observes a pattern or trend within the natural world. Observation may generate questions that the scientist wishes to answer. Next, the scientist may perform some research about the topic and devise a hypothesis. A hypothesis is a testable statement that describes how something in the natural world works. In essence, a hypothesis is an educated guess that explains something about an observation.
_paragraph_5
 observation
_paragraph_6
 hypothesis
_paragraph_7
 Teacher Support
_paragraph_8
 Teacher Support
_paragraph_9
 [OL] An educated guess is used throughout this section in describing a hypothesis to combat the tendency to think of a theory as an educated guess.
_paragraph_10
 [OL]
_paragraph_11
 Scientists may test the hypothesis by performing an experiment. During an experiment, the scientist collects data that will help them learn about the phenomenon they are studying. Then the scientists analyze the results of the experiment (that is, the data), often using statistical, mathematical, and/or graphical methods. From the data analysis, they draw conclusions. They may conclude that their experiment either supports or rejects their hypothesis. If the hypothesis is supported, the scientist usually goes on to test another hypothesis related to the first. If their hypothesis is rejected, they will often then test a new and different hypothesis in their effort to learn more about whatever they are studying.
_paragraph_12
 experiment
_paragraph_13
 Scientific processes can be applied to many situations. Let’s say that you try to turn on your car, but it will not start. You have just made an observation! You ask yourself, ""Why won’t my car start?"" You can now use scientific processes to answer this question. First, you generate a hypothesis such as, ""The car won’t start because it has no gasoline in the gas tank."" To test this hypothesis, you put gasoline in the car and try to start it again. If the car starts, then your hypothesis is supported by the experiment. If the car does not start, then your hypothesis is rejected. You will then need to think up a new hypothesis to test such as, ""My car won’t start because the fuel pump is broken."" Hopefully, your investigations lead you to discover why the car won’t start and enable you to fix it.",,,
