Section Title,Paragraphs,Lists,Table,Figures
Learning Objectives,"_paragraph_1
 By the end of this section, you will be able to:","_list_1
 Explain the difference between a principle and a law.
Explain the difference between a model and a theory.",,
Science and the Realm of Physics,"_paragraph_1
 Science consists of the theories and laws that are the general truths of nature as well as the body of knowledge they encompass. Scientists are continually trying to expand this body of knowledge and to perfect the expression of the laws that describe it. Physics is concerned with describing the interactions of energy, matter, space, and time, and it is especially interested in what fundamental mechanisms underlie every phenomenon. The concern for describing the basic phenomena in nature essentially defines the realm of physics.
_paragraph_2
 Physics
_paragraph_3
 Physics aims to describe the function of everything around us, from the movement of tiny charged particles to the motion of people, cars, and spaceships. In fact, almost everything around you can be described quite accurately by the laws of physics. Consider a smart phone (Figure 1.3). Physics describes how electricity interacts with the various circuits inside the device. This knowledge helps engineers select the appropriate materials and circuit layout when building the smart phone. Next, consider a GPS system. Physics describes the relationship between the speed of an object, the distance over which it travels, and the time it takes to travel that distance. GPS relies on precise calculations that account for variations in the Earth's landscapes, the exact distance between orbiting satellites, and even the effect of a complex occurrence of time dilation. Most of these calculations are founded on algorithms developed by Gladys West, a mathematician and computer scientist who programmed the first computers capable of highly accurate remote sensing and positioning. When you use a GPS device, it utilizes these algorithms to recognize where you are and how your position relates to other objects on Earth.
_paragraph_4
 Figure
_paragraph_5
 1.3
_paragraph_6
 The Apple iPhone is a common smart phone with a GPS function, sophisticated camera, haptic (vibration) capabilities, and many other functions. Physics describes the way that electricity flows through the circuits of this device. Engineers use their knowledge of physics to construct an iPhone with features that consumers will enjoy. One specific feature of an iPhone is the GPS function. GPS uses physics equations to determine the driving time between two locations on a map. (credit: Tinh tế Photo/Flickr)",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/e5a82c2e28f76314c739d55658a62f7bd959b1f6"
Applications of Physics,"_paragraph_1
 You need not be a scientist to use physics. On the contrary, knowledge of physics is useful in everyday situations as well as in nonscientific professions. It can help you understand how microwave ovens work, why metals should not be put into them, and why they might affect pacemakers. (See Figure 1.4 and Figure 1.5.) Physics allows you to understand the hazards of radiation and rationally evaluate these hazards more easily. Physics also explains the reason why a black car radiator helps remove heat in a car engine, and it explains why a white roof helps keep the inside of a house cool. Similarly, the operation of a car’s ignition system as well as the transmission of electrical signals through our body’s nervous system are much easier to understand when you think about them in terms of basic physics.
_paragraph_2
 Physics is the foundation of many important disciplines and contributes directly to others. Chemistry, for example—since it deals with the interactions of atoms and molecules—is rooted in atomic and molecular physics. Most branches of engineering are applied physics. In architecture, physics is at the heart of structural stability, and is involved in the acoustics, heating, lighting, and cooling of buildings. Parts of geology rely heavily on physics, such as radioactive dating of rocks, earthquake analysis, and heat transfer in the Earth. Some disciplines, such as biophysics and geophysics, are hybrids of physics and other disciplines.
_paragraph_3
 Physics has many applications in the biological sciences. On the microscopic level, it helps describe the properties of cell walls and cell membranes (Figure 1.6 and Figure 1.7). On the macroscopic level, it can explain the heat, work, and power associated with the human body. Physics is involved in medical diagnostics, such as x-rays, magnetic resonance imaging (MRI), and ultrasonic blood flow measurements. Medical therapy sometimes directly involves physics; for example, cancer radiotherapy uses ionizing radiation. Physics can also explain sensory phenomena, such as how musical instruments make sound, how the eye detects color, and how lasers can transmit information.
_paragraph_4
 It is not necessary to formally study all applications of physics. What is most useful is knowledge of the basic laws of physics and a skill in the analytical methods for applying them. The study of physics also can improve your problem-solving skills. Furthermore, physics has retained the most basic aspects of science, so it is used by all of the sciences, and the study of physics makes other sciences easier to understand.
_paragraph_5
 Figure
_paragraph_6
 1.4
_paragraph_7
 The laws of physics help us understand how common appliances work. For example, the laws of physics can help explain how microwave ovens heat up food, and they also help us understand why it is dangerous to place metal objects in a microwave oven. (credit: MoneyBlogNewz)
_paragraph_8
 Figure
_paragraph_9
 1.5
_paragraph_10
 These two applications of physics have more in common than meets the eye. Microwave ovens use electromagnetic waves to heat food. Magnetic resonance imaging (MRI) also uses electromagnetic waves to yield an image of the brain, from which the exact location of tumors can be determined. (credit: Rashmi Chawla, Daniel Smith, and Paul E. Marik)
_paragraph_11
 Figure
_paragraph_12
 1.6
_paragraph_13
 Physics, chemistry, and biology help describe the properties of cell walls in plant cells, such as the onion cells seen here. (credit: Umberto Salvagnin)
_paragraph_14
 Figure
_paragraph_15
 1.7
_paragraph_16
 An artist’s rendition of the structure of a cell membrane. Membranes form the boundaries of animal cells and are complex in structure and function. Many of the most fundamental properties of life, such as the firing of nerve cells, are related to membranes. The disciplines of biology, chemistry, and physics all help us understand the membranes of animal cells. (credit: Mariana Ruiz)",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/b7be8b2cbafbbefaea45f2a45fab7e4115648aab
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/1497bf2ef3379276870c7bf2db2c076bc5c9cc46
_figure_3
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/ce9c095cafa3d541a63502bb7f2e619b0e5e9309
_figure_4
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/f303fc3f81d197af6be8fed6f86de03920a3c3ef"
"Models, Theories, and Laws; The Role of Experimentation","_paragraph_1
 The laws of nature are concise descriptions of the universe around us; they are human statements of the underlying laws or rules that all natural processes follow. Such laws are intrinsic to the universe; humans did not create them and so cannot change them. We can only discover and understand them. Their discovery is a very human endeavor, with all the elements of mystery, imagination, struggle, triumph, and disappointment inherent in any creative effort. (See Figure 1.8 and Figure 1.9.) The cornerstone of discovering natural laws is observation; science must describe the universe as it is, not as we may imagine it to be.
_paragraph_2
 Figure
_paragraph_3
 1.8
_paragraph_4
 Isaac Newton (1642–1727) was very reluctant to publish his revolutionary work and had to be convinced to do so. In his later years, he stepped down from his academic post and became exchequer of the Royal Mint. He took this post seriously, inventing reeding (or creating ridges) on the edge of coins to prevent unscrupulous people from trimming the silver off of them before using them as currency. (credit: Arthur Shuster and Arthur E. Shipley: Britain’s Heritage of Science. London, 1917.)
_paragraph_5
 Figure
_paragraph_6
 1.9
_paragraph_7
 Marie Curie (1867–1934) sacrificed monetary assets to help finance her early research and damaged her physical well-being with radiation exposure. She is the only person to win Nobel prizes in both physics and chemistry. One of her daughters also won a Nobel Prize. (credit: Wikimedia Commons)
_paragraph_8
 We all are curious to some extent. We look around, make generalizations, and try to understand what we see—for example, we look up and wonder whether one type of cloud signals an oncoming storm. As we become serious about exploring nature, we become more organized and formal in collecting and analyzing data. We attempt greater precision, perform controlled experiments (if we can), and write down ideas about how the data may be organized and unified. We then formulate models, theories, and laws based on the data we have collected and analyzed to generalize and communicate the results of these experiments.
_paragraph_9
 A model is a representation of something that is often too difficult (or impossible) to display directly. While a model is justified with experimental proof, it is only accurate under limited situations. An example is the planetary model of the atom in which electrons are pictured as orbiting the nucleus, analogous to the way planets orbit the Sun. (See Figure 1.10.) We cannot observe electron orbits directly, but the mental image helps explain the observations we can make, such as the emission of light from hot gases (atomic spectra). Physicists use models for a variety of purposes. For example, models can help physicists analyze a scenario and perform a calculation, or they can be used to represent a situation in the form of a computer simulation. A theory is an explanation for patterns in nature that is supported by scientific evidence and verified multiple times by various groups of researchers. Some theories include models to help visualize phenomena, whereas others do not. Newton’s theory of gravity, for example, does not require a model or mental image, because we can observe the objects directly with our own senses. The kinetic theory of gases, on the other hand, is a model in which a gas is viewed as being composed of atoms and molecules. Atoms and molecules are too small to be observed directly with our senses—thus, we picture them mentally to understand what our instruments tell us about the behavior of gases.
_paragraph_10
 model
_paragraph_11
 theory
_paragraph_12
 A law uses concise language to describe a generalized pattern in nature that is supported by scientific evidence and repeated experiments. Often, a law can be expressed in the form of a single mathematical equation. Laws and theories are similar in that they are both scientific statements that result from a tested hypothesis and are supported by scientific evidence. However, the designation law is reserved for a concise and very general statement that describes phenomena in nature, such as the law that energy is conserved during any process, or Newton’s second law of motion, which relates force, mass, and acceleration by the simple equation F=maF=ma. A theory, in contrast, is a less concise statement of observed phenomena. For example, the Theory of Evolution and the Theory of Relativity cannot be expressed concisely enough to be considered a law. The biggest difference between a law and a theory is that a theory is much more complex and dynamic. A law describes a single action, whereas a theory explains an entire group of related phenomena. And, whereas a law is a postulate that forms the foundation of the scientific method, a theory is the end result of that process.
_paragraph_13
 law
_paragraph_14
 F=maF=ma
_paragraph_15
 Less broadly applicable statements are usually called principles (such as Pascal’s principle, which is applicable only in fluids), but the distinction between laws and principles often is not carefully made.
_paragraph_16
 Figure
_paragraph_17
 1.10
_paragraph_18
 What is a model? This planetary model of the atom shows electrons orbiting the nucleus. It is a drawing that we use to form a mental image of the atom that we cannot see directly with our eyes because it is too small.
_paragraph_19
 Models, Theories, and Laws
_paragraph_20
 Models, theories, and laws are used to help scientists analyze the data they have already collected. However, often after a model, theory, or law has been developed, it points scientists toward new discoveries they would not otherwise have made.
_paragraph_21
 The models, theories, and laws we devise sometimes imply the existence of objects or phenomena as yet unobserved. These predictions are remarkable triumphs and tributes to the power of science. It is the underlying order in the universe that enables scientists to make such spectacular predictions. However, if experiment does not verify our predictions, then the theory or law is wrong, no matter how elegant or convenient it is. Laws can never be known with absolute certainty because it is impossible to perform every imaginable experiment in order to confirm a law in every possible scenario. Physicists operate under the assumption that all scientific laws and theories are valid until a counterexample is observed. If a good-quality, verifiable experiment contradicts a well-established law, then the law must be modified or overthrown completely.
_paragraph_22
 The study of science in general and physics in particular is an adventure much like the exploration of uncharted ocean. Discoveries are made; models, theories, and laws are formulated; and the beauty of the physical universe is made more sublime for the insights gained.
_paragraph_23
 The Scientific Method
_paragraph_24
 Ibn al-Haytham (sometimes referred to as Alhazen), a 10th-11th century scientist working in Cairo, significantly advanced the understanding of optics and vision. But his contributions go much further. In demonstrating that previous approaches were incorrect, he emphasized that scientists must be ready to reject existing knowledge and become ""the enemy"" of everything they read; he expressed that scientists must trust only objective evidence. Al-Haytham emphasized repeated experimentation and validation, and acknowledged that senses and predisposition could lead to poor conclusions. His work was a precursor to the scientific method that we use today.
_paragraph_25
 As scientists inquire and gather information about the world, they follow a process called the scientific method. This process typically begins with an observation and question that the scientist will research. Next, the scientist typically performs some research about the topic and then devises a hypothesis. Then, the scientist will test the hypothesis by performing an experiment. Finally, the scientist analyzes the results of the experiment and draws a conclusion. Note that the scientific method can be applied to many situations that are not limited to science, and this method can be modified to suit the situation.
_paragraph_26
 scientific method
_paragraph_27
 Consider an example. Let us say that you try to turn on your car, but it will not start. You undoubtedly wonder: Why will the car not start? You can follow a scientific method to answer this question. First off, you may perform some research to determine a variety of reasons why the car will not start. Next, you will state a hypothesis. For example, you may believe that the car is not starting because it has no engine oil. To test this, you open the hood of the car and examine the oil level. You observe that the oil is at an acceptable level, and you thus conclude that the oil level is not contributing to your car issue. To troubleshoot the issue further, you may devise a new hypothesis to test and then repeat the process again.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/25abe447e5c169c1591ea7b113d281d60723b3f2
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/f2ad8f0f59c594f4e90c1ceaa434bd6d2fd59bf0
_figure_3
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/00bf3d835f6d33b14cbf372123f03f059c037c07"
1.1 Physics: An Introduction,"_paragraph_1
 Models, theories, and laws are used to help scientists analyze the data they have already collected. However, often after a model, theory, or law has been developed, it points scientists toward new discoveries they would not otherwise have made.",,,
The Evolution of Natural Philosophy into Modern Physics,"_paragraph_1
 Physics was not always a separate and distinct discipline. It remains connected to other sciences to this day. The word physics comes from Greek, meaning nature. The study of nature came to be called “natural philosophy.” From ancient times through the Renaissance, natural philosophy encompassed many fields, including astronomy, biology, chemistry, physics, mathematics, and medicine. Over the last few centuries, the growth of knowledge has resulted in ever-increasing specialization and branching of natural philosophy into separate fields, with physics retaining the most basic facets. (See Figure 1.11, Figure 1.12, and Figure 1.13.) Physics as it developed from the Renaissance to the end of the 19th century is called classical physics. It was transformed into modern physics by revolutionary discoveries made starting at the beginning of the 20th century.
_paragraph_2
 classical physics
_paragraph_3
 Figure
_paragraph_4
 1.11
_paragraph_5
 Over the centuries, natural philosophy has evolved into more specialized disciplines, as illustrated by the contributions of some of the greatest minds in history. The Greek philosopher Aristotle (384–322 B.C.) wrote on a broad range of topics including physics, animals, the soul, politics, and poetry. (credit: Jastrow (2006)/Ludovisi Collection)
_paragraph_6
 Figure
_paragraph_7
 1.12
_paragraph_8
 Ibn al-Haytham (965–1040) and Galileo Galilei (1564–1642) were so critical to the advancement of scientific practice and to the fields of mathematics, optics, physics, and astronomy that a later prominent scientist featured them on the cover of his major work. (credit: Johannes Hevelius (author), Adolph Boÿ (artist), J. Falck (engraver); Houghton Library, Harvard University/Wikimedia Commons)
_paragraph_9
 Figure
_paragraph_10
 1.13
_paragraph_11
 Niels Bohr (1885–1962) made fundamental contributions to the development of quantum mechanics, one part of modern physics. (credit: United States Library of Congress Prints and Photographs Division)
_paragraph_12
 Classical physics is not an exact description of the universe, but it is an excellent approximation under the following conditions: Matter must be moving at speeds less than about 1% of the speed of light, the objects dealt with must be large enough to be seen with a microscope, and only weak gravitational fields, such as the field generated by the Earth, can be involved. Because humans live under such circumstances, classical physics seems intuitively reasonable, while many aspects of modern physics seem bizarre. This is why models are so useful in modern physics—they let us conceptualize phenomena we do not ordinarily experience. We can relate to models in human terms and visualize what happens when objects move at high speeds or imagine what objects too small to observe with our senses might be like. For example, we can understand an atom’s properties because we can picture it in our minds, although we have never seen an atom with our eyes. New tools, of course, allow us to better picture phenomena we cannot see. In fact, new instrumentation has allowed us in recent years to actually “picture” the atom.
_paragraph_13
 Limits on the Laws of Classical Physics
_paragraph_14
 For the laws of classical physics to apply, the following criteria must be met: Matter must be moving at speeds less than about 1% of the speed of light, the objects dealt with must be large enough to be seen with a microscope, and only weak gravitational fields (such as the field generated by the Earth) can be involved.
_paragraph_15
 Figure
_paragraph_16
 1.14
_paragraph_17
 Using a scanning tunneling microscope (STM), scientists can see the individual atoms that compose this sheet of gold. (credit: Erwinrossen)
_paragraph_18
 Some of the most spectacular advances in science have been made in modern physics. Many of the laws of classical physics have been modified or rejected, and revolutionary changes in technology, society, and our view of the universe have resulted. Like science fiction, modern physics is filled with fascinating objects beyond our normal experiences, but it has the advantage over science fiction of being very real. Why, then, is the majority of this text devoted to topics of classical physics? There are two main reasons: Classical physics gives an extremely accurate description of the universe under a wide range of everyday circumstances, and knowledge of classical physics is necessary to understand modern physics.
_paragraph_19
 Modern physics itself consists of the two revolutionary theories, relativity and quantum mechanics. These theories deal with the very fast and the very small, respectively. Relativity must be used whenever an object is traveling at greater than about 1% of the speed of light or experiences a strong gravitational field such as that near the Sun. Quantum mechanics must be used for objects smaller than can be seen with a microscope. The combination of these two theories is relativistic quantum mechanics, and it describes the behavior of small objects traveling at high speeds or experiencing a strong gravitational field. Relativistic quantum mechanics is the best universally applicable theory we have. Because of its mathematical complexity, it is used only when necessary, and the other theories are used whenever they will produce sufficiently accurate results. We will find, however, that we can do a great deal of modern physics with the algebra and trigonometry used in this text.
_paragraph_20
 Modern physics
_paragraph_21
 Relativity
_paragraph_22
 Quantum mechanics
_paragraph_23
 Check Your Understanding
_paragraph_24
 A friend tells you they have learned about a new law of nature. What can you know about the information even before your friend describes the law? How would the information be different if your friend told you they had learned about a scientific theory rather than a law?
_paragraph_25
 Solution
_paragraph_26
 Without knowing the details of the law, you can still infer that the information your friend has learned conforms to the requirements of all laws of nature: it will be a concise description of the universe around us; a statement of the underlying rules that all natural processes follow. If the information had been a theory, you would be able to infer that the information will be a large-scale, broadly applicable generalization.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/0d9a18738936f635cad2b24d0de202e41b824cf0
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/17abbad9d2f3f2428691aba0ec6cde6d40871883
_figure_3
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/46735c3f7a0a6ee1de40b5e34c7d019412ac5a73
_figure_4
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/5c5f4fc8bd923eacaf260b49e280c16065d1bd1f"
Solution,"_paragraph_1
 Solution
_paragraph_2
 Without knowing the details of the law, you can still infer that the information your friend has learned conforms to the requirements of all laws of nature: it will be a concise description of the universe around us; a statement of the underlying rules that all natural processes follow. If the information had been a theory, you would be able to infer that the information will be a large-scale, broadly applicable generalization.",,,
Learning Objectives,"_paragraph_1
 By the end of this section, you will be able to:","_list_1
 Perform unit conversions both in the SI and English units.
Explain the most common prefixes in the SI units and be able to write them in scientific notation.",,
SI Units: Fundamental and Derived Units,"_paragraph_1
 Table 1.1 gives the fundamental SI units that are used throughout this textbook. This text uses non-SI units in a few applications where they are in very common use, such as the measurement of blood pressure in millimeters of mercury (mm Hg). Whenever non-SI units are discussed, they will be tied to SI units through conversions.
_paragraph_2
 Table
_paragraph_3
 1.1
_paragraph_4
 Fundamental SI Units
_paragraph_5
 It is an intriguing fact that some physical quantities are more fundamental than others and that the most fundamental physical quantities can be defined only in terms of the procedure used to measure them. The units in which they are measured are thus called fundamental units. In this textbook, the fundamental physical quantities are taken to be length, mass, time, and electric current. (Note that electric current will not be introduced until much later in this text.) All other physical quantities, such as force and electric charge, can be expressed as algebraic combinations of length, mass, time, and current (for example, speed is length divided by time); these units are called derived units.
_paragraph_6
 fundamental units
_paragraph_7
 derived units",,"_table_1
 []
['meter (m)', 'kilogram (kg)', 'second (s)', 'ampere (A)']",
"Units of Time, Length, and Mass: The Second, Meter, and Kilogram","_paragraph_1
 The SI unit for time, the second (abbreviated s), has a long history. For many years it was defined as 1/86,400 of a mean solar day. More recently, a new standard was adopted to gain greater accuracy and to define the second in terms of a non-varying, or constant, physical phenomenon (because the solar day is getting longer due to very gradual slowing of the Earth’s rotation). Cesium atoms can be made to vibrate in a very steady way, and these vibrations can be readily observed and counted. In 1967 the second was redefined as the time required for 9,192,631,770 of these vibrations. (See Figure 1.17.) Accuracy in the fundamental units is essential, because all measurements are ultimately expressed in terms of fundamental units and can be no more accurate than are the fundamental units themselves.
_paragraph_2
 second
_paragraph_3
 Figure
_paragraph_4
 1.17
_paragraph_5
 An atomic clock such as this one uses the vibrations of cesium atoms to keep time to a precision of better than a microsecond per year. The fundamental unit of time, the second, is based on such clocks. This image is looking down from the top of an atomic fountain nearly 30 feet tall! (credit: Steve Jurvetson/Flickr)
_paragraph_6
 The SI unit for length is the meter (abbreviated m); its definition has also changed over time to become more accurate and precise. The meter was first defined in 1791 as 1/10,000,000 of the distance from the equator to the North Pole. This measurement was improved in 1889 by redefining the meter to be the distance between two engraved lines on a platinum-iridium bar now kept near Paris. By 1960, it had become possible to define the meter even more accurately in terms of the wavelength of light, so it was again redefined as 1,650,763.73 wavelengths of orange light emitted by krypton atoms. In 1983, the meter was given its present definition (partly for greater accuracy) as the distance light travels in a vacuum in 1/299,792,458 of a second. (See Figure 1.18.) This change defines the speed of light to be exactly 299,792,458 meters per second. The length of the meter will change if the speed of light is someday measured with greater accuracy.
_paragraph_7
 meter
_paragraph_8
 Figure
_paragraph_9
 1.18
_paragraph_10
 The meter is defined to be the distance light travels in 1/299,792,458 of a second in a vacuum. Distance traveled is speed multiplied by time.
_paragraph_11
 The SI unit for mass is the kilogram (abbreviated kg); it was previously defined to be the mass of a platinum-iridium cylinder kept with the old meter standard at the International Bureau of Weights and Measures near Paris. Exact replicas of the previously defined kilogram are also kept at the United States’ National Institute of Standards and Technology, or NIST, located in Gaithersburg, Maryland outside of Washington D.C., and at other locations around the world. The determination of all other masses could be ultimately traced to a comparison with the standard mass. Even though the platinum-iridium cylinder was resistant to corrosion, airborne contaminants were able to adhere to its surface, slightly changing its mass over time. In May 2019, the scientific community adopted a more stable definition of the kilogram. The kilogram is now defined in terms of the second, the meter, and Planck's constant, h (a quantum mechanical value that relates a photon's energy to its frequency).
_paragraph_12
 kilogram
_paragraph_13
 Electric current and its accompanying unit, the ampere, will be introduced in Electric Current, Resistance, and Ohm's Law when electricity and magnetism are covered. The initial modules in this textbook are concerned with mechanics, fluids, heat, and waves. In these subjects all pertinent physical quantities can be expressed in terms of the fundamental units of length, mass, and time.",,,"_figure_1
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/1bbbeba89d3dc38fb53c6b2a0d71af5ca19c6d7a
_figure_2
 image: https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20230620.181811/resources/f8e2196efafa0bf903bd71ebf346ffb7d5ff08ed"
